,recall
0,56.10653670458017
1,58.06804538253326
2,63.16896255301615
3,58.59945012397076
4,55.128268885115695
5,51.3928061438345
6,55.619178880213695
7,55.831598689959435
8,51.38712267066404
9,53.67116845104043
10,55.19647056316115
11,54.02567509004753
12,56.740243963085845
13,53.40333477788276
14,55.64688581191967
15,57.582108426459406
16,51.71747454869671
17,53.3962304364197
18,54.816388294887005
19,55.20570620706314
20,57.37181991915259
21,60.351380728763345
22,50.56017732436292
23,55.98150029483017
24,55.93674294361284
25,55.771211787523356
26,58.86160032395797
27,59.77450820196222
28,53.56460332909441
29,54.23667403150065
30,50.45929567558735
31,58.16111225569946
32,54.180549733942414
33,59.13156529955456
34,56.16266100213841
35,59.84413074830029
36,53.574549407142705
37,57.64817880206594
38,54.153553236382756
39,54.4917198900248
40,51.04682471458308
41,57.398105982565944
42,58.64918051421223
43,59.013633231267626
44,61.33533202139828
45,52.881876114493565
46,51.50718604138989
47,64.76388721147494
48,57.222628748428164
49,52.388834816956646
50,58.07586015814264
51,58.689675260551724
52,52.7909405437663
53,53.42677910471089
54,51.77359884625495
55,55.64475450948074
56,54.54997549002195
57,56.18468446067392
58,59.07970360687416
59,54.82562393878899
60,53.96315688517253
61,61.53709531894941
62,53.71876753884299
63,54.56631547538701
64,57.55084932402191
65,53.18736279740549
66,61.56409181650907
67,55.77689526069381
68,60.2000582556
69,61.23800254335424
70,57.923827250832986
71,48.70523376835584
72,55.121164543652625
73,50.972229129220864
74,62.60274653840962
75,59.14932615321223
76,52.125263748676815
77,59.348247714178136
78,56.392841665541816
79,55.92111339239409
80,53.721609275428214
81,51.789938831620006
82,49.79290844635157
83,52.16007502184585
84,56.15981926555318
85,51.26563843164558
86,55.79039350947364
87,57.63254925084719
88,54.3048757095461
89,52.368232226713744
90,60.50980754338976
91,54.88103780220092
92,51.92350045112568
93,55.28101222657166
94,59.139380075163935
95,59.76598299220654
96,54.82491350464269
97,60.462918889733515
98,58.80831776298496
99,55.96942291434296
